Name|Full name|Start time|Result|Category
_1_CreatePolicy|SpecFlowAutomation.Tests.Features._013_CreateAndDeleteBaselinePoliciesForDeviceConfigurationIOSFeature._1_CreatePolicy|2024-11-13T20:03:59Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._013_CreateAndDeleteBaselinePoliciesForDeviceConfigurationIOSFeature._2_DeletePolicy|2024-11-13T20:04:46Z|Passed|smoke|
_1_CreatePolicy|SpecFlowAutomation.Tests.Features._014_CreateAndDeleteBaselinePoliciesForDeviceConfigurationWindowsFeature._1_CreatePolicy|2024-11-13T20:05:05Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._014_CreateAndDeleteBaselinePoliciesForDeviceConfigurationWindowsFeature._2_DeletePolicy|2024-11-13T20:05:47Z|Passed|smoke|
_1_CreatePolicy|SpecFlowAutomation.Tests.Features._015_CreateAndDeleteBaselinePoliciesForDeviceConfigurationWindowsOmaSettingsFeature._1_CreatePolicy|2024-11-13T20:06:11Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._015_CreateAndDeleteBaselinePoliciesForDeviceConfigurationWindowsOmaSettingsFeature._2_DeletePolicy|2024-11-13T20:06:41Z|Passed|smoke|
_1_CreatePolicy|SpecFlowAutomation.Tests.Features._016_CreateAndDeleteBaselinePoliciesForScriptsWindowsFeature._1_CreatePolicy|2024-11-13T20:07:01Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._016_CreateAndDeleteBaselinePoliciesForScriptsWindowsFeature._2_DeletePolicy|2024-11-13T20:07:56Z|Passed|smoke|
_1_ExtractPolicy|SpecFlowAutomation.Tests.Features._017_ExtractAndDeleteBaselinePoliciesForAdministrativeTemplatesWindows10Feature._1_ExtractPolicy|2024-11-13T20:08:15Z|Passed|smoke|
_2_DeletePolicy|SpecFlowAutomation.Tests.Features._017_ExtractAndDeleteBaselinePoliciesForAdministrativeTemplatesWindows10Feature._2_DeletePolicy|2024-11-13T20:09:06Z|Passed|smoke|
